,D1,D2,responses,weight
0,1177,0,False,0.0
1,1977,1,False,0.0767090340648296
2,4323,2,False,0.2064187386168559
3,1616,3,False,0.0
4,2660,4,True,0.4285973077072615
5,4967,5,False,0.0
6,882,6,False,0.0
7,1409,7,False,0.0
8,1618,8,False,0.0
9,1287,9,False,0.0
10,1346,10,True,0.5714767668127443
11,677,11,False,0.5079721589671173
12,1467,12,False,0.1488194854977119
13,3768,13,False,0.0
14,4095,13,False,0.0
15,1040,14,False,0.391304347826087
16,4799,15,False,0.0
17,4994,16,False,0.4862645390838646
18,3592,17,True,0.3605551275463989
19,201,18,False,0.0
20,3256,19,False,0.5028653529707439
21,1572,20,False,0.5288858853479451
22,3143,21,False,0.0
23,82,22,False,0.0
24,4373,23,False,0.039873629742044
25,127,24,True,0.61971166940077
26,3764,25,True,0.6587581226451356
27,1708,26,False,0.2508726030021272
28,1241,27,False,0.5994906493301807
29,2809,28,False,0.0
30,1177,29,False,0.0582426504879067
31,4164,30,False,0.5809475019311126
32,2333,31,False,0.95
33,4428,32,False,0.1516468465869634
34,1731,33,False,0.0
35,1040,34,False,0.409514179673961
36,3955,35,False,0.0
37,201,35,False,0.0
38,2459,36,True,0.4337361989746802
39,271,37,True,0.2147243753677006
40,373,38,False,0.0
41,1929,39,False,0.5144434027684821
42,4798,40,False,0.0
43,4095,41,False,0.0
44,1489,42,False,0.3580574370197164
45,3990,43,True,0.6734350297014738
46,1746,44,False,0.0
47,1040,45,False,0.0
48,1040,46,False,0.0
49,1287,48,False,0.0
50,3883,49,False,0.0
51,4095,50,False,0.0
52,1334,51,False,0.1594948165026941
53,639,52,True,0.4780914437337574
54,1740,53,False,0.0
55,1028,54,False,0.0
56,180,55,False,0.402042200564173
57,3226,56,False,0.0
58,4252,57,False,0.4902903378454601
59,3609,58,False,0.0
60,4798,59,False,0.0
61,1040,60,False,0.409514179673961
62,1114,61,False,0.578243309582912
63,4688,62,False,0.6132223631495076
64,3451,63,False,0.1324307121083397
65,1916,64,False,0.0
66,3732,65,True,0.5899261728100159
67,4395,66,False,0.0752676614164029
68,4868,67,False,0.3175264481385601
69,898,68,False,0.4666666666666667
70,1877,69,False,0.5477225575051662
71,4840,70,False,0.386243639668214
72,2338,71,False,0.0
73,2549,72,False,0.0
74,2259,73,False,0.2204792759220492
75,3449,74,False,0.0
76,3449,75,True,0.5378528742004771
77,4759,77,False,0.0
78,2486,78,False,0.0
79,109,78,False,0.0
80,3412,80,False,0.0
81,3072,81,False,0.0
82,4771,82,False,0.0
83,3256,83,False,0.3528211425363985
84,3955,84,False,0.7565344158360031
85,1616,85,False,0.0
86,1040,86,False,0.4305283859114459
87,2605,87,False,0.6674238124719146
88,3730,88,True,0.6605782590758164
89,596,89,False,0.4020151261036848
90,779,90,False,0.5633622717047423
91,2214,91,False,0.0
92,3381,92,False,0.2021518850156599
93,2272,93,False,0.0
94,4772,94,False,0.3763089045031908
95,3226,95,False,0.0
96,3734,96,False,0.0
97,898,98,False,0.6335525936249404
98,846,99,False,0.1462544848254261
99,2319,100,False,0.4447495899966607
100,4840,101,False,0.5662208585049305
101,2464,102,False,0.0
102,2472,103,False,0.0
103,4920,104,False,0.0
104,1404,106,True,0.1843704614175343
105,179,107,False,0.0
106,854,108,False,0.6132223631495076
107,4077,109,False,0.2450168083904678
108,3205,110,True,0.7844645405527362
109,2534,111,False,0.2676154650525236
110,2203,112,False,0.0
111,3057,113,False,0.0
112,2263,114,False,0.0757055983919904
113,896,115,True,0.5408420485294111
114,4071,116,False,0.0
