D1,D2,responses,s-weight,weight
0,2287,False,0.5513373613357544,0.01
2,4592,True,0.9778397083282472,0.01
4,2465,False,0.0,0.01
8,5581,False,0.0,0.01
8,5547,False,0.5814329385757446,0.01
9,3942,True,0.7781683802604675,0.01
9,5484,False,0.6750969886779785,0.01
11,1730,False,0.477325826883316,0.01
11,127,False,0.5204112529754639,0.01
14,1341,False,0.447440505027771,0.01
14,2407,False,0.5363883376121521,0.01
14,3733,False,0.5424352288246155,0.01
14,4965,True,0.9901599884033204,0.01
16,5113,True,0.97492653131485,0.01
17,7721,True,0.9861909747123718,0.01
17,4632,False,0.6792557239532471,0.01
17,3113,False,0.696661114692688,0.01
17,5796,False,0.6303397417068481,0.01
17,7777,False,0.6343398094177246,0.01
19,5483,False,0.0,0.01
19,1910,True,0.8735172748565674,0.01
19,4001,False,0.0,0.01
20,7386,True,0.9319697022438048,0.01
20,6186,False,0.0,0.01
21,1076,True,0.8374207615852356,0.01
22,733,True,0.9789924621582032,0.01
28,7780,False,0.4710862040519714,0.01
28,1696,False,0.4831140637397766,0.01
28,502,False,0.393088698387146,0.01
29,1328,True,0.9771275520324708,0.01
29,6236,False,0.5564548969268799,0.01
31,3168,True,0.9720709919929504,0.01
31,4316,False,0.8300323486328125,0.01
31,6586,False,0.8256741762161255,0.01
35,7111,False,0.0,0.01
35,5096,False,0.0,0.01
35,5396,False,0.0,0.01
35,6570,False,0.0,0.01
35,2014,True,0.9882416725158693,0.01
36,7736,True,0.9506361484527588,0.01
40,7801,False,0.0,0.01
41,6067,True,0.9632251262664796,0.01
42,340,True,0.968612551689148,0.01
45,4182,False,0.6614617705345154,0.01
45,1835,True,0.711418628692627,0.01
50,1481,True,0.7526662349700928,0.01
50,2577,False,0.7401523590087891,0.01
52,696,False,0.5352470278739929,0.01
56,2407,True,0.975548267364502,0.01
56,4965,False,0.5793952345848083,0.01
56,3914,False,0.6497862935066223,0.01
56,7497,False,0.0,0.01
57,3003,False,0.6971105337142944,0.01
57,7615,True,0.9784310460090636,0.01
57,6401,False,0.7521313428878784,0.01
58,5543,False,0.0,0.01
58,1012,False,0.0,0.01
61,4589,True,0.9412707686424256,0.01
64,958,True,0.8749116063117981,0.01
64,1037,False,0.0,0.01
67,6589,False,0.7600029706954956,0.01
67,5785,False,0.0,0.01
67,2306,True,0.9646111726760864,0.01
68,787,True,0.952224850654602,0.01
68,3399,False,0.0,0.01
68,3357,False,0.8186859488487244,0.01
68,7457,False,0.843178391456604,0.01
69,2651,False,0.0,0.01
69,5175,False,0.8081784248352051,0.01
69,6470,False,0.0,0.01
71,4713,False,0.6502176523208618,0.02
71,3552,True,0.9691725969314576,0.01
71,5827,False,0.4995448589324951,0.02
72,4254,False,0.0,0.01
75,1833,False,0.4303497076034546,0.01
76,5044,True,0.9735809564590454,0.01
76,3638,False,0.4877289533615112,0.01
78,6029,False,0.4440997838973999,0.01
78,4494,False,0.662015438079834,0.01
78,1104,True,0.9457088708877563,0.01
79,3583,False,0.576493501663208,0.01
79,4028,False,0.9657740592956544,0.01
