D1,D2,responses,weight,s-weight
4,6738,Answer: False,0.2,0.569767951965332
5,6725,Answer: False,0.1,0.6148035526275635
7,6342,False,0.2,0.0
8,7228,Answer: False,0.2,0.0
8,7734,"False, as record 1 is describing a specific movie titled ""For God and Country,"" whereas record 2 is referring to an episode of the TV series ""Heartbeat"" that touches on multiple genres (Crime, Drama, Mystery) and specific characters within the show",0.2,0.0
8,4173,False,0.1,0.0
8,2627,False,0.2,0.0
8,3016,"False, as the two record descriptions refer to different entities",0.1,0.0
8,1142,"False, as record 1 and record 2 both refer to ""For God and Country,"" but they are different episodes from two different shows, Law & Order and Homicide: Life in the Street",0.1,0.0
14,7237,Answer: False,0.2,0.7359975576400757
17,6506,Answer: False,0.1,0.7477748394012451
22,6619,record 3: Kathryn Bigelow 1951-01-01 directors,0.1,0.8020259141921997
22,798,"Both records refer to the same entity, as both are related to Joel Schumacher and his multiple roles in the film industry",0.1,0.8511130213737488
27,5608,Answer: False,0.2,0.0
27,5844,"False, as the two records describe different titles and genres of content",0.1,0.0
27,2808,"The records ""A Shot in the Dark 1993-01-01 Crime,Drama,Mystery"" and ""A Shot in the Dark Bolander and Munch tackle a case, but Stan keeps throwing his old partner's name at John",0.1,0.5188887119293213
27,5325,False,0.1,0.0
27,6392,False,0.1,0.0
27,7318,"False, as the two records describe different genres (Crime,Drama,Mystery for record 1 and none explicitly stated for record 2) and different years (1993 vs 1980)",0.2,0.5521425604820251
27,5237,False,0.1,0.0
31,119,Answer: False,0.1,0.6248172521591187
33,6633,False,0.1,0.0
42,1078,"If the two records are referring to the same person, then the answer is True",0.1,0.0
45,484,False,0.1,0.4231046438217163
45,985,False,0.1,0.6360324621200562
45,1377,False,0.1,0.5093996524810791
48,1122,Answer: False,0.1,0.5989635586738586
53,418,"If the records refer to the same entity (Alan DeWitt), then the answer is False, because in record 1, Alan DeWitt is listed as an actor and miscellaneous (possibly a producer) born in 1921, while in record 2, Alan Taylor is listed as a director",0.1,0.0
53,1388,False,0.1,0.0
59,4986,False,0.1,0.0
62,7599,Answer: False,0.1,0.0
62,7276,"If both records refer to the same person, then answer is True",0.1,0.0
64,4196,Answer: False,0.1,0.8018835783004761
64,7386,False,0.1,0.0
65,7717,False,0.1,0.0
65,3322,False,0.1,0.0
66,7499,False,0.1,0.0
66,4714,False,0.1,0.0
66,2248,True,0.1,0.8183784484863281
69,3234,False,0.1,0.0
69,144,Answer: True,0.1,0.6907432079315186
69,2944,Answer: False,0.1,0.0
69,328,False,0.1,0.49423959851264954
69,1213,Answer: False,0.1,0.6291950941085815
69,7525,False,0.1,0.700305700302124
69,7150,False,0.1,0.7335593700408936
77,1073,Record descriptions:,0.1,0.7352160215377808
77,1291,True,0.1,0.8779367804527283
77,1300,record 3: Daniel Sadauskas producer,0.1,0.7353116273880005
77,1795,True,0.1,0.932032585144043
77,3220,Answer: False,0.1,0.7522789239883423
77,1188,False,0.1,0.7455083131790161
79,1921,Answer: True,0.1,0.8778684735298157
79,5346,Answer: True,0.2,0.825311541557312
82,1826,True,0.1,0.8580586314201355
82,2011,Answer: True,0.1,0.9129209518432617
83,5044,"False, as the first record describes a movie titled ""The Hero"" released in 2011 and the second record describes an event involving Larry (presumably an actor) playing the hero in two different locations, as well as Jeff's courtship being sabotaged",0.1,0.5451524257659912
90,5445,Answer: True,0.1,0.6796202659606934
91,3404,Answer: False,0.1,0.7157770395278931
91,279,False,0.1,0.6080698370933533
92,3270,False,0.2,0.0
92,4672,"False, as while both records mention Chapter 18 and Frank Underwood's involvement, they are describing two separate events that occur during different times in the narrative (January 1, 2014 vs February 14, 2014)",0.1,0.6117961406707764
95,3474,False,0.1,0.524201512336731
96,6075,False,0.1,0.0
97,6258,False,0.1,0.7982532382011414
97,6840,False,0.1,0.7952919006347656
97,856,False,0.2,0.7183166742324829
97,3053,"False, as each record describes different events and characters within a larger context (an episode of a TV show)",0.1,0.5677893161773682
100,1418,False,0.1,0.0
100,6887,False,0.1,0.0
100,6340,False,0.1,0.0
106,387,"Answer: False, as the roles described in the two records are not identical",0.1,0.8026251196861267
106,1767,"Answer: False, as the second record only mentions one role for Jörgen Goslar (director), while the first record lists multiple roles (director, actor, writer)",0.1,0.8271401524543762
112,5446,"Answer: False, as both records describe different events in time",0.1,0.32888293266296387
113,711,Answer: False,0.1,0.6267812252044678
114,7762,Answer: False,0.3,0.8950463533401489
115,332,Answer: True,0.1,0.8178088068962097
117,6718,Your input record descriptions are:,0.1,0.7249045372009277
118,910,"The record descriptions refer to the same entity, as both describe Uncle Harry's Horrible House of Horrors, an animated film released in 1994 that combines elements of comedy, animation, and fantasy",0.1,0.6097294092178345
118,5449,"False, as the two records are describing different entities - a movie and a TV show",0.1,0.0
118,7793,False,0.2,0.0
118,599,False,0.2,0.0
118,7304,False,0.2,0.0
118,5139,False,0.2,0.0
119,7568,False,0.1,0.4819720983505249
119,6954,False,0.1,0.48325157165527344
119,6742,False,0.1,0.4828447103500366
123,455,Answer: False,0.1,0.6352190375328064
123,4105,Answer: False,0.1,0.6851669549942017
124,5151,False,0.1,0.6050839424133301
125,3023,Answer: False,0.1,0.5364519357681274
127,86,"If the records are referring to the same entity, then the answer is True",0.1,0.0
127,24,Answer: True,0.1,0.7704272866249084
127,1112,Answer: True,0.1,0.6672694087028503
134,7460,"If the entities being referred to are the same person, then the answer is True",0.1,0.6057282090187073
135,2878,If the records are referring to the same entity (i,0.1,0.0
138,6067,Answer: False,0.2,0.8091980218887329
138,7510,False,0.3,0.0
138,255,"False, as while both records involve Alaska, they are not directly referencing the same entity",0.2,0.0
138,6709,False,0.2,0.0
138,7268,False,0.3,0.5351200103759766
139,5660,Example 3:,0.1,0.5634493827819824
149,3568,Answer: False,0.1,0.6499422192573547
150,2043,False,0.1,0.0
150,2785,False,0.1,0.5272688865661621
150,1526,False,0.1,0.48690181970596313
151,2205,Answer: False,0.1,0.6161090731620789
151,3319,False,0.1,0.0
152,6546,False,0.1,0.6094923615455627
154,2089,Answer: False,0.1,0.0
157,727,Answer: True,0.1,0.8289680480957031
158,2168,Answer: False,0.1,0.7010179758071899
161,3413,"If the tasks and roles of both individuals are the same in both records, then they refer to the same entity, i",0.1,0.0
161,621,If the records refer to the same entity (i,0.1,0.0
161,5559,False,0.1,0.0
161,887,Answer: True,0.1,0.8470081090927124
162,1684,Answer: False,0.1,0.4377378821372986
163,3134,False,0.2,0.0
168,7387,Answer: True,0.1,0.8916962146759033
170,5608,Answer: False,0.2,0.0
170,5236,False,0.1,0.0
170,6972,"False, as the two records refer to different crimes and scenarios",0.1,0.5713341236114502
170,7510,False,0.3,0.0
170,7318,The given record descriptions are referring to different entities,0.2,0.5300664305686951
170,1746,False,0.2,0.0
170,5844,"False, as the two records describe different stories and cases",0.1,0.0
171,15,"Masha Manson-Smith and Mike Smith could potentially be the same person, as both ""Misha Manson-Smith"" and ""Mike Smith"" are variations of the name ""Michael Smith""",0.1,0.0
173,470,False,0.1,0.0
173,6393,"False, as the first record provides a job title and a date, indicating a specific individual (presumably not the same person as in the second record), while the second record describes a plot or situation involving a character named Larry and Diane Keaton's interior decorator",0.2,0.5060955286026001
177,256,"If the tasks and achievements described in both records refer to the same person, then the answer is True",0.1,0.695999026298523
180,55,Answer: True,0.2,0.7971552014350891
180,469,Answer: True,0.1,0.8395251035690308
181,2686,Answer: False,0.1,0.6452299952507019
182,296,False,0.1,0.6547824740409851
183,4169,Answer: False,0.1,0.5783740282058716
183,4782,"Answer: False, as the first record is a job title and person in 2005, while the second record is a segment from the TV show ""Dirty Jobs"" featuring various water-related jobs from different episodes",0.1,0.0
185,6729,False,0.1,0.47033020853996277
186,6786,False,0.1,0.0
186,3682,False,0.2,0.0
187,3414,Answer: False,0.1,0.6737319231033325
189,891,Example 3:,0.2,0.5829926133155823
189,2219,False,0.2,0.0
190,3540,Answer: False,0.1,0.6811602115631104
193,7777,False,0.1,0.0
193,7781,False,0.1,0.0
193,6070,False,0.2,0.0
193,2616,False,0.2,0.0
193,4625,False,0.1,0.0
193,7642,False,0.2,0.0
196,6659,False,0.1,0.0
199,7775,False,0.1,0.0
199,7025,Answer: True,0.1,0.8880871534347534
199,5383,False,0.1,0.0
199,6633,False,0.1,0.0
203,4822,"The records refer to the same entity (Deborah) in Example 3, as they both describe her allergic reaction and the efforts made to alleviate it due to her Christian Scientist beliefs",0.1,0.5361045598983765
208,4886,Answer: False,0.1,0.7264378666877747
216,2394,"record 1: Week-End in Winnetka 1955-01-01 Drama, record 2: Weekend (TV series) 1976-04-03 Drama, Horror, Thriller Answer with False",0.2,0.0
217,3709,Answer: False,0.3,0.5694504976272583
221,6856,Record descriptions are not unique identifiers for entities in this case,0.1,0.5349540710449219
223,7748,Answer: False,0.2,0.0
223,5516,False,0.2,0.0
223,4069,"False, the two records are not referring to the same entity as they describe different events and characters",0.1,0.0
223,6589,"False, as the two records describe different storylines and characters",0.1,0.0
223,3106,"False, as record 1 describes an episode or scene, while record 2 describes a rumor and a potential issue during production",0.1,0.0
223,3495,"False, as the two records describe different events and timelines",0.1,0.0
223,7075,"False, as ""Time and Place Unknown: Part 1"" describes a specific event, whereas ""Tsubasa Cat - Part 3"" refers to a continuation of the storyline involving Tsubasa's transformation into a cat",0.1,0.0
224,2275,Answer: True,0.2,0.671384334564209
227,5641,Answer: False,0.1,0.718758225440979
228,1684,False,0.1,0.0
228,1169,False,0.1,0.0
228,5831,False,0.3,0.4725985527038574
228,7424,False,0.1,0.0
228,4295,False,0.2,0.37354710698127747
241,7734,Answer: False,0.2,0.0
241,4592,"False, as the two records are describing different episodes of a TV show (Law & Order: Special Victims Unit)",0.1,0.0
241,6125,Answer: False,0.1,0.5914002656936646
241,1843,False,0.1,0.0
246,7791,False,0.1,0.0
246,1012,False,0.1,0.6354432106018066
247,5396,False,0.1,0.0
247,364,The records refer to the same entity,0.1,0.4616219997406006
247,4174,Answer: False,0.1,0.0
247,7748,False,0.2,0.0
247,5785,Both records refer to the same entity (family) in this case,0.1,0.0
247,5028,False,0.2,0.0
